"violation","n","T1","T2","s1","s2","alpha_allowed","beta_allowed","eta_star","used_fallback_eta","error"
1,3500,0.313142857142857,0.288285714285714,0.463771935506306,0.452964746116615,0.357090742766508,0.332233561164495,0.915915915915916,FALSE,NA
1,3500,0.296857142857143,0.314,0.456873045376762,0.464116364719022,0.336061035156578,0.353175014309046,1.08108108108108,FALSE,NA
1,3500,0.318857142857143,0.284857142857143,0.46603354525841,0.451346375880441,0.361735255517666,0.327735191449022,0.900900900900901,FALSE,NA
1,3500,0.254571428571429,0.352857142857143,0.435620036644931,0.477858744391935,0.296748002798846,0.395033636667547,1.2012012012012,FALSE,NA
1,3500,0.347714285714286,0.284285714285714,0.476244749288105,0.451073549367257,0.376838974871921,0.313410349775136,0.915915915915916,FALSE,NA
1,3500,0.328857142857143,0.290571428571429,0.469797959179241,0.454026071354265,0.363920167309757,0.325634418736662,0.945945945945946,FALSE,NA
1,3500,0.269142857142857,0.351714285714286,0.443514351055112,0.477505337078839,0.304218770812336,0.38679012243949,1.18618618618619,FALSE,NA
1,3500,0.355714285714286,0.270285714285714,0.478729185085954,0.444107359698953,0.38828400788438,0.302855378103104,0.885885885885886,FALSE,NA
1,3500,0.311428571428571,0.326571428571429,0.463077548933794,0.468958986066207,0.337061035156576,0.35215736645753,1.02102102102102,FALSE,NA
1,3500,0.289714285714286,0.304571428571429,0.453629715040083,0.46022567667329,0.337179688383425,0.352036767190499,1.05105105105105,FALSE,NA
1,3500,0.303428571428571,0.306285714285714,0.45973870129606,0.460949862252072,0.343150823971214,0.346007909371854,1.00600600600601,FALSE,NA
1,3500,0.351142857142857,0.268857142857143,0.477327509180445,0.44336551466238,0.386640928747605,0.304355166113864,0.870870870870871,FALSE,NA
1,3500,0.220571428571429,0.420571428571429,0.414631973525183,0.493650789567703,0.2500000000005,0.450059805516886,1.24624624624625,FALSE,NA
1,3500,0.301142857142857,0.311714285714286,0.45875465854277,0.463193792916009,0.339307749727733,0.349879112905063,1.03603603603604,FALSE,NA
1,3500,0.309428571428571,0.300857142857143,0.462258077930765,0.458630703779173,0.348873973032035,0.340302493962278,0.945945945945946,FALSE,NA
1,3500,0.311428571428571,0.302857142857143,0.463077548933794,0.459493954125134,0.348873973032035,0.340302493962278,0.990990990990991,FALSE,NA
1,3500,0.266857142857143,0.360285714285714,0.442317090064656,0.48008324108153,0.299061035156652,0.392466192596782,1.12612612612613,FALSE,NA
1,3500,0.352285714285714,0.268285714285714,0.477682415204829,0.443067139151527,0.387561035156475,0.303514667019252,0.840840840840841,FALSE,NA
1,3500,0.412857142857143,0.207714285714286,0.492347562651609,0.405671124464744,0.452882863300502,0.24773997000213,0.735735735735736,FALSE,NA
1,3500,0.320571428571429,0.297428571428571,0.466696247847679,0.457126696142908,0.356222440031792,0.333079518282578,0.945945945945946,FALSE,NA
1,3500,0.294,0.291428571428571,0.455591922667643,0.454420465190195,0.345864897124884,0.343293415217552,1.08108108108108,FALSE,NA
1,3500,0.288857142857143,0.324285714285714,0.453231391099018,0.468107348581411,0.327061035156596,0.362435303910954,1.14114114114114,FALSE,NA
1,3500,0.294571428571429,0.326857142857143,0.45584986787408,0.469064548884701,0.328576953462947,0.360862630457537,1.0960960960961,FALSE,NA
1,3500,0.327142857142857,0.279142857142857,0.469169913957902,0.448577888943469,0.36889115184365,0.320891108976687,0.870870870870871,FALSE,NA
1,3500,0.274857142857143,0.339714285714286,0.446442262647199,0.473612172347712,0.312721024319534,0.377578092446217,1.17117117117117,FALSE,NA
1,3500,0.294285714285714,0.319142857142857,0.455721003085288,0.466144498924476,0.332233615012443,0.357090687444688,1.0960960960961,FALSE,NA
1,3500,0.350857142857143,0.281714285714286,0.477238313804817,0.449834799608451,0.379799045467762,0.310656129750991,0.900900900900901,FALSE,NA
1,3500,0.308285714285714,0.295142857142857,0.461785266821129,0.456106951295865,0.351173169756935,0.338030252443231,0.945945945945946,FALSE,NA
1,3500,0.311714285714286,0.307428571428571,0.463193792916009,0.461428482972128,0.34672364267693,0.342437861730595,0.975975975975976,FALSE,NA
1,3500,0.301142857142857,0.312285714285714,0.45875465854277,0.463425664954775,0.339000000000322,0.350190521442767,1.02102102102102,FALSE,NA
1,3500,0.286571428571429,0.313714285714286,0.452159534786074,0.464001759321084,0.3311068856095,0.358249695033009,1.0960960960961,FALSE,NA
1,3500,0.309714285714286,0.317142857142857,0.462375763788259,0.465363583992261,0.34087149113494,0.348300010062278,1.00600600600601,FALSE,NA
1,3500,0.249142857142857,0.372571428571429,0.432516697802005,0.483489357880474,0.284934921703949,0.408363454957111,1.15615615615616,FALSE,NA
1,3500,0.302857142857143,0.31,0.459493954125134,0.462493243193887,0.341000000000318,0.348170478261117,1.02102102102102,FALSE,NA
1,3500,0.217714285714286,0.421714285714286,0.412692107399941,0.493833318984023,0.248247540394638,0.452247441610995,1.36636636636637,FALSE,NA
1,3500,0.301428571428571,0.304571428571429,0.458878401927027,0.46022567667329,0.343000000000314,0.346159226942512,1.00600600600601,FALSE,NA
1,3500,0.298,0.310857142857143,0.457379492325574,0.46284444427025,0.338172161934901,0.351029242191392,1.06606606606607,FALSE,NA
1,3500,0.314571428571429,0.299142857142857,0.464344963252493,0.457882526597451,0.352324893889514,0.336896262179583,0.945945945945946,FALSE,NA
1,3500,0.301142857142857,0.305428571428571,0.45875465854277,0.460588709353229,0.342437909824819,0.346723594358305,1.00600600600601,FALSE,NA
1,3500,0.290285714285714,0.315142857142857,0.453894170889368,0.464572746439881,0.332233615012443,0.357090687444688,1.0960960960961,FALSE,NA
1,3500,0.281428571428571,0.344571428571429,0.44969604246896,0.475228323212825,0.313561035156623,0.376677558151899,1.18618618618619,FALSE,NA
1,3500,0.209428571428571,0.442,0.406900780163862,0.496624606720207,0.235668600316599,0.468239935089934,1.32132132132132,FALSE,NA
1,3500,0.425714285714286,0.213714285714286,0.494450839470479,0.409927420156201,0.456702556596208,0.244702508463029,0.795795795795796,FALSE,NA
1,3500,0.186,0.474571428571429,0.389106669179545,0.499352969106124,0.211675914165666,0.500247234251633,1.30630630630631,FALSE,NA
1,3500,0.312285714285714,0.323714285714286,0.463425664954775,0.467892452320804,0.338881730906209,0.350310252355746,1.06606606606607,FALSE,NA
1,3500,0.303714285714286,0.299428571428571,0.459860759760329,0.458007753254043,0.34672364267693,0.342437861730595,0.990990990990991,FALSE,NA
1,3500,0.528,0.144,0.499215384378326,0.351089732119867,0.556846155770779,0.17284612082954,0.660660660660661,FALSE,NA
1,3500,0.313142857142857,0.290285714285714,0.463771935506306,0.453894170889368,0.356077783023304,0.333220605795203,0.960960960960961,FALSE,NA
1,3500,0.297142857142857,0.309714285714286,0.456999977671593,0.462375763788259,0.338314033720861,0.350885397529661,1.03603603603604,FALSE,NA
1,3500,0.406857142857143,0.232857142857143,0.491247807285962,0.422651977254988,0.435698894229349,0.261698843947013,0.825825825825826,FALSE,NA
1,3500,0.353428571428571,0.274285714285714,0.478034325468926,0.446153629621557,0.38500000000023,0.305858140980371,0.855855855855856,FALSE,NA
1,3500,0.246857142857143,0.389428571428571,0.431182900724914,0.487620712422753,0.276061035156698,0.418623272553596,1.2012012012012,FALSE,NA
1,3500,0.308285714285714,0.306857142857143,0.461785266821129,0.461189588710211,0.345292854082587,0.343864216910718,0.975975975975976,FALSE,NA
1,3500,0.302285714285714,0.322,0.459248365510962,0.467242977475317,0.334773918929979,0.354488135156349,1.02102102102102,FALSE,NA
1,3500,0.331142857142857,0.297714285714286,0.470624335650126,0.457253200968477,0.361438964844027,0.328020827023762,0.930930930930931,FALSE,NA
1,3500,0.305428571428571,0.31,0.460588709353229,0.462493243193887,0.342295414412103,0.346866776840154,1.00600600600601,FALSE,NA
1,3500,0.336857142857143,0.286,0.472635597647136,0.451889366991524,0.370358090518773,0.319500896726301,0.915915915915916,FALSE,NA
1,3500,0.334857142857143,0.281142857142857,0.47194050126546,0.449557060917086,0.371827247279894,0.318112905152144,0.870870870870871,FALSE,NA
1,3500,0.326,0.295428571428571,0.468747266658697,0.456235170292959,0.36000000000028,0.329410618354472,0.945945945945946,FALSE,NA
1,3500,0.325428571428571,0.302,0.468534754662374,0.459125255240876,0.35636709704028,0.332938474566454,0.960960960960961,FALSE,NA
1,3500,0.369428571428571,0.258857142857143,0.482650082400093,0.438006989041248,0.401500000000197,0.290976731374333,0.825825825825826,FALSE,NA
1,3500,0.301714285714286,0.314285714285714,0.459001934102901,0.464230765979198,0.338314033720861,0.350885397529661,1.00600600600601,FALSE,NA
1,3500,0.322,0.304571428571429,0.467242977475317,0.46022567667329,0.353333815478943,0.335905185455978,0.975975975975976,FALSE,NA
1,3500,0.483714285714286,0.182,0.499734705128835,0.385844528275315,0.50788736824364,0.206173051250287,0.705705705705706,FALSE,NA
1,3500,0.216285714285714,0.427142857142857,0.411711311578432,0.494663356975928,0.245207909560954,0.456064955054585,1.27627627627628,FALSE,NA
1,3500,0.308285714285714,0.306285714285714,0.461785266821129,0.460949862252072,0.345578819452452,0.343578783525467,0.990990990990991,FALSE,NA
1,3500,0.307428571428571,0.299142857142857,0.461428482972128,0.457882526597451,0.348730470036349,0.34044468918325,0.990990990990991,FALSE,NA
1,3500,0.276571428571429,0.358,0.447302664277095,0.479412140021506,0.304764725205333,0.386193218891375,1.14114114114114,FALSE,NA
1,3500,0.357428571428571,0.250857142857143,0.47924251455302,0.433506443706081,0.399407397612531,0.292835934239233,0.810810810810811,FALSE,NA
1,3500,0.288285714285714,0.337142857142857,0.452964746116615,0.472734122970204,0.320500000000359,0.369303385380722,1.06606606606607,FALSE,NA
1,3500,0.315428571428571,0.306,0.464686332653654,0.460829686543738,0.349304645854046,0.339876010756742,0.975975975975976,FALSE,NA
1,3500,0.278571428571429,0.333142857142857,0.448296093843234,0.471337133989622,0.317697003154186,0.372268360671927,1.0960960960961,FALSE,NA
1,3500,0.475714285714286,0.175142857142857,0.499409855811469,0.380089248380816,0.507221076655684,0.206649603828569,0.690690690690691,FALSE,NA
1,3500,0.308285714285714,0.309428571428571,0.461785266821129,0.462258077930765,0.344000000000312,0.345156880200288,1.00600600600601,FALSE,NA
1,3500,0.310285714285714,0.304,0.462610516304935,0.459982608366882,0.347726513259231,0.341440732374218,0.990990990990991,FALSE,NA
1,3500,0.258857142857143,0.378857142857143,0.438006989041248,0.485102471817311,0.286561035156677,0.406506619659974,1.21621621621622,FALSE,NA
1,3500,0.313142857142857,0.292,0.463771935506306,0.454682306671372,0.355210413393096,0.334067492287582,0.915915915915916,FALSE,NA
1,3500,0.406571428571429,0.238285714285714,0.491193548451948,0.426034778689559,0.432574922926592,0.264289181700857,0.825825825825826,FALSE,NA
1,3500,0.277714285714286,0.331142857142857,0.447871701745589,0.470624335650126,0.318251667599184,0.371680164771586,1.18618618618619,FALSE,NA
1,3500,0.354857142857143,0.267714285714286,0.478470010575802,0.442767825094344,0.389181362594061,0.302038450629492,0.855855855855856,FALSE,NA
