mechanism,epsilon,delta,runs,bandwidth_mean,bandwidth_sd,bandwidth_q05,bandwidth_q10,bandwidth_q90,bandwidth_q95,mmd_hat_mean,mmd_hat_sd,mmd_hat_q05,mmd_hat_q10,mmd_hat_q90,mmd_hat_q95,eps_star_mean,eps_star_sd,eps_star_q05,eps_star_q10,eps_star_q90,eps_star_q95,tau_mmd_at_claim_mean,tau_mmd_at_claim_sd,tau_mmd_at_claim_q05,tau_mmd_at_claim_q10,tau_mmd_at_claim_q90,tau_mmd_at_claim_q95,margin_at_claim_mean,margin_at_claim_sd,margin_at_claim_q05,margin_at_claim_q10,margin_at_claim_q90,margin_at_claim_q95,positive_margin_rate,claimed_eps_above_eps_star_rate
NonDPGaussian1,0.5220689655172415,1e-05,400,2.7564405426016014,0.3989022671134547,2.1582571160975617,2.2585225885381006,3.291713797196807,3.471757822237007,0.2976655417429135,0.014319822110288767,0.2721017648815996,0.27699100272730814,0.31363395780514025,0.31753766419169016,0.4273799129409076,0.02116283463443043,0.389650143115137,0.3968353732019834,0.45102310186200145,0.4568331394547625,0.36100673709412534,5.55806705462024e-17,0.3610067370941254,0.3610067370941254,0.3610067370941254,0.3610067370941254,-0.06334119535121181,0.014319822110288767,-0.08890497221252576,-0.0840157343668172,-0.04737277928898503,-0.043469072902435145,0.0,1.0
NonDPGaussian1,0.5562068965517242,1e-05,400,2.5513633088800436,0.3469986653638122,1.994510128470486,2.105958393723386,2.9876895256314366,3.1165426178527595,0.2997279181229268,0.013232782065870929,0.2767547222899596,0.282203022879007,0.3154407399114678,0.31821466252654024,0.430426356670165,0.019572795361973566,0.396487900920638,0.40450617233173486,0.4537112696329554,0.4578415116774775,0.38347271943093925,5.55806705462024e-17,0.3834727194309393,0.3834727194309393,0.3834727194309393,0.3834727194309393,-0.08374480130801244,0.013232782065870927,-0.10671799714097958,-0.1012696965519322,-0.06803197951947149,-0.06525805690439895,0.0,1.0
NonDPGaussian1,0.5903448275862069,1e-05,400,2.4515766167452573,0.3399005054369051,1.9263192817881591,2.0366028322861416,2.890134482886362,3.027720579949623,0.2992193820089244,0.014514352323165131,0.2752494155340565,0.2791483159871921,0.3165980295818715,0.31961157046945676,0.42968146218922426,0.021464538732828265,0.3942747659927715,0.40000899204223833,0.4554339556605577,0.45992289465135094,0.4057317243075045,0.0,0.4057317243075045,0.4057317243075045,0.4057317243075045,0.4057317243075045,-0.10651234229858005,0.01451435232316513,-0.1304823087734479,-0.12658340832031229,-0.08913369472563293,-0.08612015383804769,0.0,1.0
NonDPGaussian1,0.6244827586206897,1e-05,400,2.278871632796813,0.31662337823364256,1.7971314730908001,1.878695517623708,2.664506660457959,2.803823567920277,0.30282218069524075,0.01318910978307313,0.2797279964461592,0.28516473256327607,0.318175790403631,0.32203893074825096,0.43501056274068955,0.019524547774757758,0.4008621060685262,0.40887029676823405,0.4577836062811631,0.46354197689806004,0.42777381265625264,5.55806705462024e-17,0.4277738126562527,0.4277738126562527,0.4277738126562527,0.4277738126562527,-0.12495163196101196,0.013189109783073132,-0.14804581621009347,-0.14260908009297657,-0.10959802225262169,-0.10573488190800176,0.0,1.0
NonDPGaussian1,0.6586206896551725,1e-05,400,2.159192964148587,0.2944794805193985,1.7159801815448934,1.78703612861195,2.56494594152335,2.6982469658568324,0.30418120920093294,0.01355566545106386,0.27786945923862455,0.28701986014601605,0.3199461282135049,0.32219470474474304,0.43702775684057854,0.020071805783212018,0.3981274292155275,0.411605810320566,0.46042153045125533,0.4637743307867778,0.4495894883511953,5.55806705462024e-17,0.4495894883511952,0.4495894883511952,0.4495894883511952,0.4495894883511952,-0.1454082791502622,0.013555665451063854,-0.17172002911257053,-0.16256962820517912,-0.12964336013769032,-0.12739478360645215,0.0,1.0
NonDPGaussian1,0.6927586206896552,1e-05,400,2.0877780277403475,0.29957751267506033,1.6443651159141595,1.711371834278236,2.4695202582547737,2.5811550792973006,0.30369361718730614,0.013733196767266063,0.27896348187424586,0.2846483011934301,0.3192297596638846,0.32365537763533286,0.4363059384464454,0.020336789924645753,0.3997370056722793,0.4081090536095589,0.45935390250946173,0.4659536788455989,0.4711697103372856,0.0,0.4711697103372856,0.4711697103372856,0.4711697103372856,0.4711697103372856,-0.16747609314997944,0.013733196767266063,-0.19220622846303972,-0.18652140914385548,-0.151939950673401,-0.14751433270195274,0.0,1.0
NonDPGaussian1,0.7268965517241379,1e-05,400,1.9396769944262002,0.2593683349063381,1.5252179119548386,1.62018235860494,2.2723881606476057,2.414955726813163,0.30786728919394873,0.012444379088612767,0.2845273363970429,0.29053030121959167,0.3226078326488593,0.32629207073112415,0.4424907646349023,0.018458232693126134,0.4079307605556184,0.41678636566518046,0.46439061450490354,0.4698904268713144,0.4925059029347026,1.111613410924048e-16,0.4925059029347027,0.4925059029347027,0.4925059029347027,0.4925059029347027,-0.184638613740754,0.012444379088612768,-0.2079785665376598,-0.20197560171511103,-0.1698980702858434,-0.16621383220357852,0.0,1.0
NonDPGaussian1,0.7610344827586207,1e-05,400,1.8849485098685164,0.256279000228315,1.457197520015849,1.560142002949381,2.2362863390931738,2.3067848351967988,0.30729905946005814,0.013344570565276399,0.2845675881157753,0.2893515263686739,0.32357280915627956,0.32757002772430255,0.4416527710833883,0.019795361297831503,0.4079900872137795,0.41504617097350677,0.4658304568072121,0.4717997818341564,0.5135899643235069,0.0,0.5135899643235069,0.5135899643235069,0.5135899643235069,0.5135899643235069,-0.20629090486344873,0.0133445705652764,-0.22902237620773155,-0.224238437954833,-0.19001715516722723,-0.18601993659920438,0.0,1.0
NonDPGaussian1,0.7951724137931035,1e-05,400,1.8009925892832848,0.2474593378651926,1.4187287867081404,1.4972802183186047,2.1285357714330457,2.1937169503517,0.3087869183651531,0.013347810548181314,0.28435189714441744,0.29186964098510954,0.3247243038235368,0.3279589544041819,0.443861859698407,0.01980140045016252,0.4076721909113382,0.41876436112486465,0.4675492236490435,0.4723810324843392,0.5344142732252448,1.111613410924048e-16,0.5344142732252447,0.5344142732252447,0.5344142732252447,0.5344142732252447,-0.22562735486009153,0.013347810548181318,-0.25006237608082726,-0.24254463224013506,-0.20968996940170778,-0.20645531882106283,0.0,1.0
NonDPGaussian1,0.8293103448275863,1e-05,400,1.7447416738619512,0.22264532376452018,1.3782597314892076,1.4603661843401705,2.0410326345481113,2.1368629924708364,0.3106641656136907,0.012513301294156093,0.28996368334902933,0.29480473100892873,0.3267239501604775,0.3297471685229881,0.4466458352458471,0.018588742994411458,0.41594980424705896,0.4231018423583098,0.4705355900671306,0.4750545270655204,0.5549716938086207,1.111613410924048e-16,0.5549716938086208,0.5549716938086208,0.5549716938086208,0.5549716938086208,-0.24430752819493,0.012513301294156098,-0.2650080104595914,-0.2601669627996919,-0.22824774364814318,-0.2252245252856327,0.0,1.0
