mechanism,eps_claim,tau_mmd,mmd_hat,delta_mmd
NonDPLaplace1,0.8048101265822786,0.5402453138347661,0.2185524242527166,-0.32169288958204956
NonDPLaplace1,0.8426582278481014,0.5629355820811245,0.2185524242527166,-0.3443831578284079
NonDPLaplace1,0.8805063291139241,0.5852866078263372,0.2185524242527166,-0.36673418357362064
NonDPLaplace1,0.918354430379747,0.6072902978095472,0.2185524242527166,-0.38873787355683065
NonDPLaplace1,0.9562025316455698,0.6289392978709251,0.2185524242527166,-0.41038687361820847
NonDPLaplace1,0.9940506329113925,0.6502269886296689,0.2185524242527166,-0.4316745643769523
NonDPLaplace1,1.0318987341772152,0.6711474784475147,0.2185524242527166,-0.45259505419479806
NonDPLaplace1,1.0697468354430382,0.6916955938388611,0.2185524242527166,-0.47314316958614455
NonDPLaplace1,1.1075949367088609,0.7118668674986589,0.2185524242527166,-0.4933144432459423
NonDPLaplace1,1.1454430379746836,0.7316575241270751,0.2185524242527166,-0.5131050998743585
NonDPLaplace1,1.1832911392405066,0.7510644642356991,0.2185524242527166,-0.5325120399829825
NonDPLaplace1,1.2211392405063293,0.7700852461237544,0.2185524242527166,-0.5515328218710378
NonDPLaplace1,1.258987341772152,0.7887180662145619,0.2185524242527166,-0.5701656419618453
NonDPLaplace1,1.296835443037975,0.8069617379424453,0.2185524242527166,-0.5884093136897287
NonDPLaplace1,1.3346835443037977,0.8248156693785468,0.2185524242527166,-0.6062632451258302
NonDPLaplace1,1.3725316455696204,0.8422798397807635,0.2185524242527166,-0.6237274155280469
NonDPLaplace1,1.4103797468354433,0.8593547752483692,0.2185524242527166,-0.6408023509956526
NonDPLaplace1,1.448227848101266,0.8760415236560354,0.2185524242527166,-0.6574890994033188
NonDPLaplace1,1.4860759493670888,0.8923416290350463,0.2185524242527166,-0.6737892047823297
NonDPLaplace1,1.5239240506329115,0.9082571055616936,0.2185524242527166,-0.689704681308977
NonDPLaplace1,1.5617721518987344,0.9237904113042837,0.2185524242527166,-0.7052379870515672
NonDPLaplace1,1.5996202531645571,0.9389444218710561,0.2185524242527166,-0.7203919976183395
NonDPLaplace1,1.6374683544303799,0.9537224040917288,0.2185524242527166,-0.7351699798390122
NonDPLaplace1,1.6753164556962028,0.9681279898555079,0.2185524242527166,-0.7495755656027913
NonDPLaplace1,1.7131645569620255,0.9821651502183274,0.2185524242527166,-0.7636127259656108
NonDPLaplace1,1.7510126582278482,0.9958381698819773,0.2185524242527166,-0.7772857456292607
NonDPLaplace1,1.7888607594936712,1.0091516221376777,0.2185524242527166,-0.7905991978849611
NonDPLaplace1,1.826708860759494,1.0221103443567348,0.2185524242527166,-0.8035579201040182
NonDPLaplace1,1.8645569620253166,1.0347194141011844,0.2185524242527166,-0.8161669898484678
NonDPLaplace1,1.9024050632911396,1.046984125917904,0.2185524242527166,-0.8284317016651874
NonDPLaplace1,1.9402531645569623,1.058909968870599,0.2185524242527166,-0.8403575446178824
NonDPLaplace1,1.978101265822785,1.070502604855407,0.2185524242527166,-0.8519501806026903
NonDPLaplace1,2.0159493670886075,1.0817678477376265,0.2185524242527166,-0.8632154234849099
NonDPLaplace1,2.0537974683544302,1.092711643339334,0.2185524242527166,-0.8741592190866174
NonDPLaplace1,2.0916455696202534,1.103340050300399,0.2185524242527166,-0.8847876260476824
NonDPLaplace1,2.129493670886076,1.1136592218286547,0.2185524242527166,-0.8951067975759381
NonDPLaplace1,2.167341772151899,1.1236753883487716,0.2185524242527166,-0.905122964096055
NonDPLaplace1,2.2051898734177215,1.1333948410536612,0.2185524242527166,-0.9148424168009446
NonDPLaplace1,2.2430379746835443,1.1428239163570555,0.2185524242527166,-0.9242714921043389
NonDPLaplace1,2.280886075949367,1.1519689812412193,0.2185524242527166,-0.9334165569885027
NonDPLaplace1,2.31873417721519,1.160836419489548,0.2185524242527166,-0.9422839952368314
NonDPLaplace1,2.356582278481013,1.1694326187901003,0.2185524242527166,-0.9508801945373837
NonDPLaplace1,2.3944303797468356,1.1777639586928248,0.2185524242527166,-0.9592115344401082
NonDPLaplace1,2.4322784810126583,1.1858367994004206,0.2185524242527166,-0.967284375147704
NonDPLaplace1,2.470126582278481,1.1936574713703374,0.2185524242527166,-0.9751050471176208
NonDPLaplace1,2.5079746835443038,1.201232265703369,0.2185524242527166,-0.9826798414506523
NonDPLaplace1,2.5458227848101265,1.2085674252926217,0.2185524242527166,-0.9900150010399051
NonDPLaplace1,2.5836708860759496,1.215669136705268,0.2185524242527166,-0.9971167124525515
NonDPLaplace1,2.6215189873417724,1.2225435227684476,0.2185524242527166,-1.003991098515731
NonDPLaplace1,2.659367088607595,1.229196635829918,0.2185524242527166,-1.0106442115772014
NonDPLaplace1,2.697215189873418,1.2356344516635223,0.2185524242527166,-1.0170820274108057
NonDPLaplace1,2.7350632911392405,1.2418628639892706,0.2185524242527166,-1.023310439736554
NonDPLaplace1,2.7729113924050632,1.2478876795777403,0.2185524242527166,-1.0293352553250237
NonDPLaplace1,2.8107594936708864,1.2537146139086106,0.2185524242527166,-1.035162189655894
NonDPLaplace1,2.848607594936709,1.259349287353413,0.2185524242527166,-1.0407968631006963
NonDPLaplace1,2.886455696202532,1.2647972218529846,0.2185524242527166,-1.046244797600268
NonDPLaplace1,2.9243037974683546,1.2700638380606477,0.2185524242527166,-1.0515114138079311
NonDPLaplace1,2.9621518987341773,1.2751544529227785,0.2185524242527166,-1.056602028670062
NonDPLaplace1,3.0,1.2800742776691536,0.2185524242527166,-1.061521853416437
