"eps","n_done","n_expected","n_reject","rejection_rate","rejection_se","rejection_ci_low","rejection_ci_high","mean_stop_reject","sd_stop_reject","se_stop_reject","stop_reject_ci_low","stop_reject_ci_high","mean_runtime","sd_runtime","se_runtime","mean_stop_all","sd_stop_all","se_stop_all","csv"
0.692758620689655,400,400,395,0.9875,0.00555512151082223,0.976611961838789,0.998388038161212,429.164556962025,716.974084841643,36.0748812759614,358.457789661141,499.87132426291,549.425,1285.69707232281,64.2848536161406,549.425,1285.69707232281,64.2848536161406,"results/nondp_laplace_auditor_sweep/stops_burn50_0.6927586207NONDP.csv"
0.726896551724138,400,400,357,0.8925,0.0154873940674343,0.862144707627829,0.922855292372171,614.229691876751,1173.96704914861,62.1329250165418,492.449158844329,736.010224909173,1628.575,3129.42694464653,156.471347232326,1628.575,3129.42694464653,156.471347232326,"results/nondp_laplace_auditor_sweep/stops_burn50_0.7268965517NONDP.csv"
0.761034482758621,400,400,281,0.7025,0.0228579171185828,0.657698482447578,0.747301517552422,480.782918149466,887.693294359051,52.9553422563544,376.990447327012,584.575388971921,3327.625,4442.80157377469,222.140078688734,3327.625,4442.80157377469,222.140078688734,"results/nondp_laplace_auditor_sweep/stops_burn50_0.7610344828NONDP.csv"
0.795172413793104,400,400,217,0.5425,0.0249095237810762,0.493677333389091,0.591322666610909,267.235023041475,374.153000330876,25.3991606647306,217.452668138603,317.017377944347,4742.85,4887.54284535316,244.377142267658,4742.85,4887.54284535316,244.377142267658,"results/nondp_laplace_auditor_sweep/stops_burn50_0.7951724138NONDP.csv"
0.829310344827586,400,400,150,0.375,0.0242061459137964,0.327555954008959,0.422444045991041,164.333333333333,196.835422231849,16.071544925777,132.83310527881,195.833561387856,6342.875,4793.38082502416,239.669041251208,6342.875,4793.38082502416,239.669041251208,"results/nondp_laplace_auditor_sweep/stops_burn50_0.8293103448NONDP.csv"
0.863448275862069,400,400,117,0.2925,0.0227455352761811,0.247918750858685,0.337081249141315,131.025641025641,118.513673119098,10.956592955756,109.550718832359,152.500563218923,7148.7,4518.35042203909,225.917521101955,7148.7,4518.35042203909,225.917521101955,"results/nondp_laplace_auditor_sweep/stops_burn50_0.8634482759NONDP.csv"
0.897586206896552,400,400,87,0.2175,0.0206272726020674,0.177070545699948,0.257929454300052,103.563218390805,97.7178783419956,10.4764562248208,83.0293641901558,124.097072591453,7886.65,4108.74655742879,205.43732787144,7886.65,4108.74655742879,205.43732787144,"results/nondp_laplace_auditor_sweep/stops_burn50_0.8975862069NONDP.csv"
0.931724137931035,400,400,62,0.155,0.0180952341791976,0.119533341008773,0.190466658991227,95.4838709677419,71.1423744368127,9.03509058857033,77.7750934141441,113.19264852134,8507.05,3607.20495904258,180.360247952129,8507.05,3607.20495904258,180.360247952129,"results/nondp_laplace_auditor_sweep/stops_burn50_0.9317241379NONDP.csv"
0.965862068965517,400,400,59,0.1475,0.0177301825991725,0.112748842105622,0.182251157894378,79.1525423728814,38.9645345195018,5.07275031596866,69.2099517535828,89.0951329921799,8579.3,3540.15802006316,177.007901003158,8579.3,3540.15802006316,177.007901003158,"results/nondp_laplace_auditor_sweep/stops_burn50_0.965862069NONDP.csv"
1,400,400,32,0.08,0.0135646599662505,0.053413266466149,0.106586733533851,78.75,35.8086311455231,6.3301314770018,66.3429423050765,91.1570576949235,9252.3,2708.53847335683,135.426923667841,9252.3,2708.53847335683,135.426923667841,"results/nondp_laplace_auditor_sweep/stops_burn50_          1NONDP.csv"
